epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,2655.84,0.22898,0.16441,0.78948,0.96838,0.99677,0.98601,0.9133,0.32637,0.21739,0.81661,0.000445625,0.000445625,0.000445625
67,2696.72,0.2304,0.16684,0.79324,0.89595,0.98176,0.98922,0.9457,0.3093,0.2337,0.80382,0.00043325,0.00043325,0.00043325
68,2739.65,0.22368,0.16519,0.79753,0.86161,0.9805,0.99124,0.94915,0.32037,0.22571,0.80645,0.000420875,0.000420875,0.000420875
69,2779.78,0.22379,0.16178,0.78363,0.9468,0.98581,0.98948,0.94096,0.30971,0.22175,0.80165,0.0004085,0.0004085,0.0004085
70,2819.34,0.21566,0.15692,0.78624,0.95125,0.99029,0.9844,0.95519,0.30919,0.21416,0.79899,0.000396125,0.000396125,0.000396125
71,2858.65,0.22545,0.15825,0.78098,0.9472,0.99014,0.9911,0.95727,0.30337,0.21824,0.79663,0.00038375,0.00038375,0.00038375
72,2898.03,0.21983,0.15773,0.78918,0.90993,0.98655,0.98929,0.94709,0.30554,0.21999,0.80112,0.000371375,0.000371375,0.000371375
73,2937.17,0.2172,0.15869,0.78387,0.95208,0.98868,0.98958,0.95796,0.30222,0.2243,0.79957,0.000359,0.000359,0.000359
74,2976.43,0.2106,0.15153,0.78767,0.9516,0.99369,0.98783,0.96026,0.29419,0.20589,0.79781,0.000346625,0.000346625,0.000346625
75,3016.08,0.20594,0.14997,0.78364,0.95051,0.988,0.99215,0.93251,0.30611,0.21761,0.79824,0.00033425,0.00033425,0.00033425
76,3055.34,0.2081,0.15034,0.78111,0.94855,0.99056,0.99074,0.92546,0.30813,0.21725,0.80345,0.000321875,0.000321875,0.000321875
77,3094.56,0.20765,0.15049,0.7808,0.92753,0.98813,0.98992,0.93538,0.30804,0.21509,0.80726,0.0003095,0.0003095,0.0003095
78,3133.73,0.20074,0.14333,0.77807,0.9258,0.98764,0.98917,0.92092,0.30173,0.21448,0.8067,0.000297125,0.000297125,0.000297125
79,3172.88,0.20015,0.14293,0.78467,0.95269,0.99279,0.99143,0.9237,0.29985,0.20253,0.80551,0.00028475,0.00028475,0.00028475
80,3212.14,0.20269,0.1453,0.78158,0.95257,0.99363,0.99111,0.95351,0.29482,0.20017,0.80106,0.000272375,0.000272375,0.000272375
81,3251.44,0.19943,0.14306,0.78875,0.9503,0.98907,0.99209,0.93691,0.29635,0.20618,0.80551,0.00026,0.00026,0.00026
82,3290.57,0.19753,0.14107,0.7833,0.95152,0.99334,0.99099,0.9386,0.29324,0.20612,0.80303,0.000247625,0.000247625,0.000247625
83,3329.83,0.20066,0.14187,0.7838,0.96208,0.99333,0.9909,0.93506,0.29158,0.20088,0.80166,0.00023525,0.00023525,0.00023525
84,3369.07,0.19829,0.14154,0.77376,0.96341,0.99553,0.9857,0.95596,0.29002,0.19149,0.79892,0.000222875,0.000222875,0.000222875
85,3408.46,0.18832,0.13596,0.7922,0.96407,0.99587,0.98594,0.94358,0.28699,0.18521,0.80022,0.0002105,0.0002105,0.0002105
